video_id,title,channel_title,views,likes,dislikes,ratings_disabled,latest_trend_year,latest_trend_month,latest_trend_day,num_trend_days
5LoBGoQPUNc,Jennifer Lawrence Takes a Lie Detector Test | Vanity Fair,Vanity Fair,6438646,124860.0,8171.0,False,2018,3,14,13
5NaAwSpswJE,Yodeling Kid Mason Ramsey Performs at Coachella | TMZ,TMZ,3149536,47108.0,7962.0,False,2018,4,20,6
5TLANg1GC7U,CHICKEN GIRLS | Annie & Hayden in “Broken” | Ep. 8,Brat,3322855,79652.0,1543.0,False,2017,11,29,7
5TbUxGZtwGI,Time: The History & Future of Everything – Remastered,Kurzgesagt – In a Nutshell,2626381,167615.0,2796.0,False,2018,4,22,9
5_-NKRVn7IQ,Samsung Galaxy S9 and S9+: Official Introduction,Samsung,7676863,180749.0,8889.0,False,2018,3,10,13
5bJ_gb19pKQ,Honest Trailers - Thor: Ragnarok,Screen Junkies,3259936,87201.0,2482.0,False,2018,3,20,14
5ek2W8hUvGw,My Sister in Real Life,itsAlexClark,2500743,86444.0,1784.0,False,2018,5,17,6
5fZiMNo5-uo,Irelia: The Blade Dancer | Champion Trailer - League of Legends,League of Legends,2686026,51635.0,2101.0,False,2018,4,1,13
5orrZxSjLQA,Charlie Puth - The Way I Am [Official Lyric Video],Charlie Puth,4763664,215294.0,1791.0,False,2018,5,11,5
5qpjK5DgCt4,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,5315471,187303.0,7278.0,False,2017,11,20,7
5sEaYB4rLFQ,Fantastic Beasts: The Crimes of Grindelwald - Official Teaser Trailer,Warner Bros. Pictures,11161971,218633.0,5211.0,False,2018,3,16,2
5x-d3pabd5o,Jhené Aiko - Sativa ft. Rae Sremmurd,JheneAikoVEVO,3055492,109426.0,1729.0,False,2018,1,30,6
6OcOO1k-vGE,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),Vevo,18241671,396450.0,16969.0,False,2018,2,6,8
6Q0AazVu1Tc,Donchez bags a GOLDEN BUZZER with his Wiggle and Wine! | Auditions | BGT 2018,Britain's Got Talent,7957820,110407.0,4211.0,False,2018,5,14,8
6Rl7fQQRmtg,Wassabi - WHAT IT IS! ft Sickick (Official Music Video),Wassabi Productions,3140961,115164.0,11542.0,False,2018,4,20,12
6S9c5nnDd_s,Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,20th Century Fox,13619534,347100.0,6923.0,False,2018,6,12,28
6SuMbFuKDf8,Backstreet Boys - Don't Go Breaking My Heart (Official Video),BackstreetBoysVEVO,18658825,442316.0,16986.0,False,2018,6,13,27
6Y65fxIRs8Q,Big sister reflexes,BrasherN,2894540,36922.0,2753.0,False,2018,1,19,7
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,91933007,2625661.0,53709.0,False,2017,12,8,9
6_-b3U9QDKg,Helping the Police Find a Gun Underwater to Solve a Criminal Case! (Metal Detecting Underwater),DALLMYD,4478472,83646.0,2674.0,False,2018,5,14,5
6jxRnodaKzE,"42,000 Match Sphere Gets Lit",All is Art,5389292,28418.0,1138.0,False,2018,2,22,9
6sHIq41sI-w,NCT 127 엔시티 127 'TOUCH' MV,SMTOWN,6215935,428599.0,3744.0,False,2018,3,27,13
6uJf2IT2Zh8,Red Velvet 레드벨벳 '피카부 (Peek-A-Boo)' MV,SMTOWN,12969561,591776.0,18790.0,False,2017,11,24,7
6xUPaVfmcUs,Kevin Hart on Lavar Ball and His Least Favorite Son | Cold As Balls | Laugh Out Loud Network,LOL Network,7049534,143779.0,3230.0,False,2018,2,18,10
7AXo-bYGXI4,Sam Smith - One Last Song (Official Video),SamSmithWorldVEVO,5966226,189276.0,2780.0,False,2017,12,7,8
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,123010920,5613827.0,206892.0,False,2018,6,1,14
